Forecast_Day,EncoderLength,HP_Config,BatchSize,NumWorkers,MAE,MSE,RMSE,SMAPE,R2
2024-01-01,168,cfg_5,64,2,37.17243431091309,2574.8464897016834,50.74294522100273,52.133392522042634,-0.935943736392902
2024-01-02,168,cfg_5,64,2,18.271173426310224,499.4852435570372,22.349166506987174,24.890625245977862,-0.6722398975077715
2024-01-03,168,cfg_5,64,2,15.802393150329591,393.317808750814,19.832241647146546,19.617774705916382,-0.25322467137044957
2024-01-04,168,cfg_5,64,2,13.709496498107905,295.4230590518769,17.18787535013787,17.962536950361052,0.35550867404919917
2024-01-05,168,cfg_5,64,2,10.077989629109702,183.38816840505373,13.542088775556515,10.76847487566412,-0.33029997503638775
2024-01-06,168,cfg_5,64,2,9.726461372375487,123.284658595072,11.103362490483322,11.110187745920845,-0.8363550425846606
2024-01-07,168,cfg_5,64,2,15.323475643793744,452.5561643292479,21.27336748916936,20.885965748143278,-4.092878015225369
2024-01-08,168,cfg_5,64,2,14.101765429178874,309.8067302275511,17.60132751321761,15.98748877672416,0.3422588518919478
2024-01-09,168,cfg_5,64,2,10.132218017578126,188.7522911175577,13.738715046086286,9.703885700372888,0.3362910672664884
2024-01-10,168,cfg_5,64,2,7.8713740285237614,94.80684013916091,9.736880411053681,6.794979487282539,0.6985843528237703
2024-01-11,168,cfg_5,64,2,9.723822619120282,165.0034942331131,12.845368590784505,8.005022306048371,0.6106575357878392
2024-01-12,168,cfg_5,64,2,11.498236427307129,199.9177878599522,14.139228686882188,10.174653772766728,0.19647035949119107
2024-01-13,168,cfg_5,64,2,12.439910418192548,274.1001440892542,16.555970043741144,12.176456339265819,0.20596224925455286
2024-01-14,168,cfg_5,64,2,14.172856782277426,332.3937073461414,18.231667706113488,16.85022946846987,-1.1820733019386385
2024-01-15,168,cfg_5,64,2,19.954564755757648,559.7919892075844,23.65992369403554,19.03657054387395,-0.6911981198405184
2024-01-16,168,cfg_5,64,2,12.151332378387451,211.45201024499352,14.541389556881883,13.043143375439426,0.2465663616670557
2024-01-17,168,cfg_5,64,2,17.231697552998863,534.4140787081024,23.117397749489502,13.99205595473604,0.13917343462163412
2024-01-18,168,cfg_5,64,2,20.29086396535238,502.1483159630475,22.408666090667857,20.727012602779084,-0.7630575833804727
2024-01-19,168,cfg_5,64,2,14.373837598164874,271.56442853450426,16.47921201194111,17.24246055989561,0.041059834063047806
2024-01-20,168,cfg_5,64,2,11.527214342753092,224.94370493631268,14.998123380487064,14.003810048120876,-0.5171163771297791
2024-01-21,168,cfg_5,64,2,13.472640542984012,251.9025167133942,15.871437134468769,21.708216098634857,0.18483136967227387
2024-01-22,168,cfg_5,64,2,18.702304000854493,495.88397574956707,22.26845247765473,21.891327969001047,0.2778438716077981
2024-01-23,168,cfg_5,64,2,17.23264333089193,583.8491385237846,24.162970399431124,16.59308008252577,0.3703633012091334
2024-01-24,168,cfg_5,64,2,18.001320457458494,515.3774047976884,22.701925134175042,19.02064867593249,-0.17938475532711728
2024-01-25,168,cfg_5,64,2,10.910190550486247,219.6910938757113,14.821980092946802,11.528020921562792,0.5466430501090004
2024-01-26,168,cfg_5,64,2,11.038454767862953,175.24612795695853,13.238056049018622,11.355337167232344,0.22481892320430685
2024-01-27,168,cfg_5,64,2,13.016237837473554,254.0931173060094,15.940298532524709,16.66978022065908,-0.21979812146855648
2024-01-28,168,cfg_5,64,2,27.218413260777794,909.6577933098033,30.16053370399475,50.02654452955802,-3.037535372559022
2024-01-29,168,cfg_5,64,2,23.36241897583008,820.7105605053217,28.64804636454852,23.754056965153563,-0.5133069898786742
2024-01-30,168,cfg_5,64,2,7.215957756042482,72.87000562883868,8.536393010448775,8.467095805403071,0.7991570719735821
2024-01-31,168,cfg_5,64,2,7.669186274210612,79.86597621254298,8.936776611986168,8.463295080712426,0.6763741689761515
