Forecast_Day,Input_Steps,MAE,MSE,RMSE,SMAPE,R2
2024-01-01,48,53.66925813039145,4612.450611866935,67.91502493459703,61.33831021215368,-2.4679523253830755
2024-01-02,48,11.918124809265137,240.18066787009124,15.497763318301491,13.87223178004891,0.1958927704006026
2024-01-03,48,27.882842140793798,1557.1408550542246,39.4606241087774,49.707740770553286,-3.961502614261663
2024-01-04,48,14.032081985473637,267.39989859586444,16.352366758236084,18.358491139005473,0.4166436575457182
2024-01-05,48,14.74161064783732,341.64546229967914,18.48365392176772,17.882127784869947,-1.478300284698375
2024-01-06,48,11.444417304992676,168.81740747333768,12.992975312580937,13.164498674013803,-1.5145764365374572
2024-01-07,48,14.156085230509442,450.1948370753451,21.217795292521444,20.82534500531009,-4.066304624769008
2024-01-08,48,13.255817044576007,278.95115139508647,16.70183077974048,14.147572787505936,0.40776738307168436
2024-01-09,48,13.885117009480794,244.45800797726042,15.635152956631426,13.305848590862299,0.14041327598139308
2024-01-10,48,10.769103368123368,155.15355489275615,12.456064984286014,10.413820406120138,0.5067264229980836
2024-01-11,48,6.117821324666341,78.92702791557566,8.884088468468539,5.359185930035261,0.8137636800698408
2024-01-12,48,8.957304725646974,165.312866074887,12.857405106586905,7.568996974055779,0.3355579347362101
2024-01-13,48,10.103048464457194,145.1020356977725,12.045830635442808,10.030227910280125,0.5796554779754974
2024-01-14,48,10.2830735651652,203.99673623398232,14.282742601964873,9.849219969964292,-0.33918248745679414
2024-01-15,48,13.866650606791177,268.2676837842194,16.37887919804708,15.111355962779276,0.18953144886537132
2024-01-16,48,7.118398335774739,72.51451442868677,8.51554545690919,6.717102191232498,0.7416204538578235
2024-01-17,48,16.26058595021566,622.847253355936,24.956907928586347,13.705609472736455,-0.003273460081489432
2024-01-18,48,18.27284716288249,413.8117166748569,20.342362612903568,18.82026193992493,-0.45290517160469146
2024-01-19,48,13.991602897644043,268.7554798609863,16.393763444096244,16.829077484077455,0.05097870937977367
2024-01-20,48,17.099305839538573,421.2318390217145,20.523933322385222,22.55901729403732,-1.8409673510502165
2024-01-21,48,18.814684855143227,533.0493782572531,23.087862141334202,26.11573937255739,-0.7249733636659073
2024-01-22,48,15.49839787165324,392.02871174186095,19.7997149409243,16.615454861444768,0.4290883542624093
2024-01-23,48,20.631038678487144,597.7822575179034,24.44958603980655,20.828848569001853,0.35533749665027325
2024-01-24,48,8.961273180643717,128.46788118254025,11.334367259910906,10.783987914098486,0.7060153215771265
2024-01-25,48,9.216262143452964,201.55542533647235,14.197021706557765,9.518394588509675,0.5840680145358016
2024-01-26,48,4.81944096883138,33.41327371366282,5.7804215861529356,5.326007697708893,0.8522002294796044
2024-01-27,48,12.21878101348877,176.6893730896871,13.292455495117789,14.477129318872429,0.15178589777110874
2024-01-28,48,13.891256536245345,461.94144415801134,21.49282308488141,33.65337135264881,-1.0503368789407692
2024-01-29,48,6.581169630686442,65.3888081658997,8.08633465581902,8.4889015530004,0.8794296732378283
2024-01-30,48,8.693165963490802,112.83986504819434,10.622611027812058,10.53451447716884,0.6889929032005431
2024-01-31,48,12.27148431142171,191.07309157876935,13.822919068661632,14.542370464744483,0.22575055134975308
