Month,MAE,MSE,RMSE,SMAPE,R2
4,16.933595811896854,537.9849497982103,21.735268032545488,47.722649279381976,0.16591274031279094
5,17.924959362740477,609.5048008164049,22.273124268745285,38.98308194898245,0.29818132854689633
6,20.188397281900873,852.8024359417233,27.321828928519334,29.12498532452624,0.4353150334241121
